time 0 1 2 3 4 5 6 7 8 9 10 20 30 40 50 60 70 80 90 100 200 300 400 500 600 700 800 900 1000 2000 3000 4000 5000 6000 7000 8000 9000 10000 20000 30000 40000 50000 60000 70000 80000 90000 100000 200000 300000 400000 500000 600000 700000 800000 900000 1e+06 2e+06 3e+06 4e+06 5e+06 6e+06 7e+06 8e+06 9e+06 1e+07 2e+07 3e+07 4e+07 5e+07 6e+07 7e+07 8e+07 9e+07 1e+08 2e+08 3e+08 4e+08 5e+08 6e+08 7e+08 8e+08 9e+08 1e+09 2e+09 3e+09 4e+09 5e+09 6e+09 7e+09 8e+09 9e+09 1e+10 2e+10 3e+10 4e+10 5e+10 6e+10 7e+10 8e+10 9e+10 1e+11 2e+11 3e+11 4e+11 5e+11 6e+11 7e+11 8e+11 9e+11 1e+12 2e+12 3e+12 4e+12 5e+12 6e+12 7e+12 8e+12 9e+12 1e+13 2e+13 3e+13 4e+13 5e+13 6e+13 7e+13 8e+13 9e+13 1e+14 2e+14 3e+14 4e+14 5e+14 6e+14 7e+14 8e+14 9e+14 1e+15 2e+15 3e+15 4e+15 5e+15 6e+15 7e+15 8e+15 9e+15 1e+16 
Inv 45 116 0 1 0.360835 0.130202 0.0469815 0.0169526 0.00611708 0.00220726 0.000796456 0.000287389 0.0001037 3.74187e-05 1.40016e-09 5.2392e-14 1.96044e-18 7.3357e-23 2.74492e-27 1.02711e-31 3.84332e-36 1.43812e-40 5.38125e-45 2.89578e-89 1.55829e-133 8.38556e-178 4.51248e-222 2.42828e-266 1.30672e-310 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
Inv 48 116 0 0 0.639165 0.869798 0.953019 0.983047 0.993883 0.997793 0.999204 0.999713 0.999896 0.999963 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
Inv 50 116 0 6.33761e-28 2.28683e-28 8.25169e-29 2.9775e-29 1.07439e-29 3.87677e-30 1.39887e-30 5.04763e-31 1.82136e-31 6.57211e-32 2.37145e-32 8.87364e-37 3.3204e-41 1.24245e-45 4.64908e-50 1.73962e-54 6.50944e-59 2.43574e-63 9.11423e-68 3.41042e-72 1.83523e-116 9.87585e-161 5.31444e-205 2.85983e-249 1.53895e-293 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.22045e-16 2.22045e-16 2.22045e-16 2.22045e-16 2.22045e-16 3.33067e-16 3.33067e-16 4.44089e-16 6.66134e-16 6.66134e-16 6.66134e-16 1.22125e-15 1.88738e-15 2.55351e-15 3.33067e-15 3.9968e-15 4.55191e-15 5.21805e-15 5.88418e-15 6.43929e-15 1.28786e-14 1.95399e-14 2.59792e-14 3.24185e-14 3.87468e-14 4.51861e-14 5.18474e-14 5.82867e-14 6.4726e-14 1.2923e-13 1.93956e-13 2.5846e-13 3.22964e-13 3.8769e-13 4.52194e-13 5.1692e-13 5.81424e-13 6.4615e-13 1.29208e-12 1.93801e-12 2.58404e-12 3.23019e-12 3.87612e-12 4.52205e-12 5.16809e-12 5.81413e-12 6.46017e-12 
