time 0 1 2 3 4 5 6 7 8 9 10 20 30 40 50 60 70 80 90 100 200 300 400 500 600 700 800 900 1000 2000 3000 4000 5000 6000 7000 8000 9000 10000 20000 30000 40000 50000 60000 70000 80000 90000 100000 200000 300000 400000 500000 600000 700000 800000 900000 1e+06 2e+06 3e+06 4e+06 5e+06 6e+06 7e+06 8e+06 9e+06 1e+07 2e+07 3e+07 4e+07 5e+07 6e+07 7e+07 8e+07 9e+07 1e+08 2e+08 3e+08 4e+08 5e+08 6e+08 7e+08 8e+08 9e+08 1e+09 2e+09 3e+09 4e+09 5e+09 6e+09 7e+09 8e+09 9e+09 1e+10 2e+10 3e+10 4e+10 5e+10 6e+10 7e+10 8e+10 9e+10 1e+11 2e+11 3e+11 4e+11 5e+11 6e+11 7e+11 8e+11 9e+11 1e+12 2e+12 3e+12 4e+12 5e+12 6e+12 7e+12 8e+12 9e+12 1e+13 2e+13 3e+13 4e+13 5e+13 6e+13 7e+13 8e+13 9e+13 1e+14 2e+14 3e+14 4e+14 5e+14 6e+14 7e+14 8e+14 9e+14 1e+15 2e+15 3e+15 4e+15 5e+15 6e+15 7e+15 8e+15 9e+15 1e+16 
Inv 81 192 1 1 1 0.998931 0.997863 0.996796 0.99573 0.994666 0.993603 0.99254 0.991479 0.990419 0.98936 0.978834 0.968419 0.958116 0.947922 0.937836 0.927858 0.917985 0.908218 0.898555 0.807401 0.725495 0.651897 0.585765 0.526343 0.472948 0.42497 0.381859 0.343121 0.117732 0.0403964 0.0138609 0.00475595 0.00163187 0.000559929 0.000192123 6.59216e-05 2.26191e-05 5.11624e-10 1.15725e-14 2.61759e-19 5.92075e-24 1.33922e-28 3.0292e-33 6.85177e-38 1.54981e-42 3.50553e-47 1.22887e-93 4.30786e-140 1.51013e-186 5.29382e-233 1.85576e-279 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
Inv 80 192 0 0 0 0.00106908 0.00213697 0.00320368 0.00426921 0.00533355 0.00639672 0.0074587 0.00851951 0.00957914 0.0106376 0.0211578 0.0315618 0.0418509 0.0520264 0.0620893 0.072041 0.0818826 0.0916152 0.10124 0.191809 0.27279 0.345159 0.409789 0.467469 0.518904 0.564729 0.605515 0.641776 0.837004 0.879984 0.871659 0.846629 0.816729 0.785988 0.755755 0.726464 0.698231 0.469464 0.315639 0.212217 0.142682 0.0959307 0.064498 0.0433646 0.0291557 0.0196026 0.000369999 6.98374e-06 1.31818e-07 2.48808e-09 4.69625e-11 8.86419e-13 1.67312e-14 3.15802e-16 5.96077e-18 3.42121e-35 1.96362e-52 1.12703e-69 6.46864e-87 3.71271e-104 2.13093e-121 1.22306e-138 7.01979e-156 4.02904e-173 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
Inv 79 192 0 0 2.7478e-15 2.12244e-08 8.48651e-08 1.90873e-07 3.39201e-07 5.29799e-07 7.62618e-07 1.03761e-06 1.35473e-06 1.71392e-06 2.11515e-06 8.42834e-06 1.88916e-05 3.34574e-05 5.20789e-05 7.47095e-05 0.000101303 0.000131815 0.000166199 0.000204411 0.000787628 0.00170808 0.00292844 0.00441517 0.00613818 0.00807042 0.0101876 0.012468 0.0148919 0.0439276 0.0759483 0.107234 0.13661 0.163773 0.18871 0.211504 0.232267 0.251117 0.35711 0.367602 0.333501 0.282703 0.229674 0.181238 0.140016 0.106438 0.0798921 0.00314436 9.25536e-05 2.42068e-06 5.93609e-08 1.39782e-09 3.20123e-11 7.18438e-13 1.58778e-14 3.46714e-16 6.09435e-33 8.35337e-50 1.05385e-66 1.28439e-83 1.54107e-100 1.83551e-117 2.17854e-134 2.58132e-151 3.05606e-168 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
Inv 78 192 0 0 7.34005e-16 2.71398e-13 2.21723e-12 7.44875e-12 1.76385e-11 3.44359e-11 5.94812e-11 9.4427e-11 1.40917e-10 2.00579e-10 2.7506e-10 2.19421e-09 7.38428e-09 1.74535e-08 3.39918e-08 5.85708e-08 9.27441e-08 1.38047e-07 1.95999e-07 2.681e-07 2.08536e-06 6.84575e-06 1.57896e-05 3.00194e-05 5.05135e-05 7.81393e-05 0.000113664 0.000157765 0.000211041 0.0013364 0.00367124 0.00724618 0.0120052 0.0178663 0.0247426 0.0325487 0.0412033 0.0506295 0.173426 0.316758 0.454282 0.574615 0.674396 0.754264 0.81662 0.864406 0.900505 0.996486 0.9999 0.999997 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
Inv 78 188 0 0 0 8.48987e-16 3.39469e-15 7.63523e-15 1.35687e-14 2.11933e-14 3.05071e-14 4.15082e-14 5.41947e-14 6.85648e-14 8.46167e-14 3.3722e-13 7.55953e-13 1.33898e-12 2.08449e-12 2.99067e-12 4.05577e-12 5.278e-12 6.65564e-12 8.18696e-12 3.15868e-11 6.85915e-11 1.17756e-10 1.77783e-10 2.47507e-10 3.25879e-10 4.11959e-10 5.04901e-10 6.03947e-10 1.80946e-09 3.18172e-09 4.57308e-09 5.93437e-09 7.25014e-09 8.51645e-09 9.73328e-09 1.09019e-08 1.20239e-08 2.1043e-08 2.70054e-08 3.09135e-08 3.3441e-08 3.50413e-08 3.60188e-08 3.65784e-08 3.68578e-08 3.69496e-08 3.48791e-08 3.22546e-08 2.98151e-08 2.756e-08 2.54754e-08 2.35484e-08 2.17673e-08 2.01208e-08 1.85989e-08 8.47042e-09 3.85764e-09 1.75687e-09 8.00123e-10 3.64396e-10 1.65955e-10 7.55803e-11 3.44212e-11 1.56763e-11 6.0175e-15 2.30988e-18 8.86671e-22 3.40358e-25 1.3065e-28 5.01512e-32 1.92511e-35 7.38972e-39 2.83662e-42 1.9703e-76 1.36855e-110 9.50589e-145 6.60273e-179 4.58621e-213 3.18555e-247 2.21267e-281 1.5369e-315 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
Inv 77 188 0 0 5.22037e-25 2.21527e-22 1.78042e-21 6.00707e-21 1.42377e-20 2.77955e-20 4.80154e-20 7.6226e-20 1.13751e-19 1.61917e-19 2.22048e-19 1.77143e-18 5.96201e-18 1.4093e-17 2.74494e-17 4.73016e-17 7.49062e-17 1.11506e-16 1.58328e-16 2.1659e-16 1.68614e-15 5.53995e-15 1.27889e-14 2.43357e-14 4.09858e-14 6.34574e-14 9.23901e-14 1.28353e-13 1.71853e-13 1.09857e-12 3.04795e-12 6.07786e-12 1.01754e-11 1.53049e-11 2.14237e-11 2.84884e-11 3.64562e-11 4.52857e-11 1.72935e-10 3.51501e-10 5.5932e-10 7.82056e-10 1.01029e-09 1.23791e-09 1.461e-09 1.67712e-09 1.88481e-09 3.45183e-09 4.27562e-09 4.63457e-09 4.71308e-09 4.62638e-09 4.44609e-09 4.21646e-09 3.96461e-09 3.7069e-09 1.72821e-09 7.87459e-10 3.58633e-10 1.6333e-10 7.43849e-11 3.38768e-11 1.54283e-11 7.02646e-12 3.20003e-12 1.22836e-15 4.7152e-19 1.80998e-22 6.94778e-26 2.66698e-29 1.02375e-32 3.92975e-36 1.50848e-39 5.79044e-43 4.022e-77 2.79366e-111 1.94045e-145 1.34783e-179 9.36192e-214 6.50273e-248 4.51675e-282 3.13731e-316 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
Inv 76 188 0 0 2.33762e-24 1.35197e-23 1.31352e-23 8.75479e-24 7.87822e-24 4.84129e-24 5.39083e-25 2.55519e-24 1.18234e-23 9.4446e-24 9.61317e-24 4.13811e-23 2.06437e-22 6.60855e-22 1.60083e-21 3.31483e-21 6.10358e-21 1.03919e-20 1.66223e-20 2.52673e-20 3.95437e-19 1.9592e-18 6.06163e-18 1.44913e-17 2.94326e-17 5.3423e-17 8.93148e-17 1.4024e-16 2.09581e-16 2.78978e-15 1.19943e-14 3.27462e-14 7.00434e-14 1.28761e-13 2.13589e-13 3.29016e-13 4.79331e-13 6.68628e-13 5.48031e-12 1.74973e-11 3.85451e-11 6.96253e-11 1.11196e-10 1.63361e-10 2.25992e-10 2.9882e-10 3.81483e-10 1.65424e-09 3.46951e-09 5.55028e-09 7.72695e-09 9.89825e-09 1.20055e-08 1.40163e-08 1.59146e-08 1.76942e-08 2.98014e-08 3.53549e-08 3.78845e-08 3.90365e-08 3.95612e-08 3.98002e-08 3.9909e-08 3.99585e-08 3.99811e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 
Inv 76 184 0 0 0 5.87056e-29 4.62508e-28 1.56065e-27 3.69954e-27 7.22513e-27 1.24831e-26 1.98171e-26 2.95752e-26 4.20986e-26 5.7733e-26 4.60582e-25 1.55017e-24 3.66436e-24 7.13725e-24 1.22993e-23 1.94772e-23 2.89941e-23 4.11697e-23 5.63199e-23 4.38498e-22 1.4409e-21 3.32669e-21 6.33105e-21 1.0664e-20 1.65128e-20 2.40447e-20 3.34083e-20 4.47363e-20 2.86353e-19 7.95587e-19 1.58876e-18 2.66382e-18 4.01274e-18 5.62569e-18 7.49253e-18 9.60324e-18 1.19481e-17 4.63879e-17 9.59397e-17 1.55445e-16 2.21437e-16 2.91587e-16 3.64331e-16 4.38618e-16 5.13744e-16 5.89236e-16 1.32758e-15 2.01373e-15 2.64806e-15 3.23441e-15 3.7764e-15 4.2774e-15 4.74051e-15 5.16859e-15 5.56428e-15 8.19769e-15 9.39701e-15 9.94321e-15 1.0192e-14 1.03053e-14 1.03568e-14 1.03803e-14 1.0391e-14 1.03959e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 1.04e-14 
Inv 74 180 0 0 2.79828e-31 2.79826e-31 2.79824e-31 2.79822e-31 2.7982e-31 2.79818e-31 2.79816e-31 2.79814e-31 2.79812e-31 2.7981e-31 2.79807e-31 2.79787e-31 2.79767e-31 2.79746e-31 2.79726e-31 2.79706e-31 2.79685e-31 2.79665e-31 2.79644e-31 2.79624e-31 2.7942e-31 2.79216e-31 2.79012e-31 2.78808e-31 2.78604e-31 2.784e-31 2.78196e-31 2.77992e-31 2.77788e-31 2.75749e-31 2.73709e-31 2.7167e-31 2.69631e-31 2.67592e-31 2.65553e-31 2.63515e-31 2.61477e-31 2.5944e-31 2.39098e-31 2.1884e-31 1.9869e-31 1.78663e-31 1.5877e-31 1.39017e-31 1.19409e-31 9.99472e-32 8.06332e-32 6.84408e-31 5.13304e-31 3.55141e-31 9.97803e-31 8.62662e-31 7.37743e-31 6.22272e-31 5.15536e-31 1.20573e-30 2.12684e-30 4.19439e-30 6.42478e-30 7.94048e-30 9.48995e-30 1.18437e-29 1.42044e-29 1.65683e-29 1.81448e-29 3.86542e-29 5.91646e-29 7.9675e-29 9.93965e-29 1.19907e-28 1.40417e-28 1.60928e-28 1.81438e-28 2.01948e-28 4.05475e-28 6.09789e-28 8.13316e-28 1.01763e-27 1.22116e-27 1.42547e-27 1.629e-27 1.8341e-27 2.03684e-27 4.07683e-27 6.11604e-27 8.15603e-27 1.01952e-26 1.22352e-26 1.42752e-26 1.63144e-26 1.83536e-26 2.03928e-26 4.07888e-26 6.11848e-26 8.15801e-26 1.01975e-25 1.22371e-25 1.42767e-25 1.63162e-25 1.83558e-25 2.03954e-25 4.07909e-25 6.11865e-25 8.15819e-25 1.01978e-24 1.22373e-24 1.42769e-24 1.63164e-24 1.8356e-24 2.03955e-24 4.07911e-24 6.11867e-24 8.15822e-24 1.01978e-23 1.22373e-23 1.42769e-23 1.63164e-23 1.8356e-23 2.03956e-23 4.07911e-23 6.11867e-23 8.15822e-23 1.01978e-22 1.22373e-22 1.42769e-22 1.63164e-22 1.8356e-22 2.03956e-22 4.07911e-22 6.11867e-22 8.15822e-22 1.01978e-21 1.22373e-21 1.42769e-21 1.63164e-21 1.8356e-21 2.03956e-21 4.07911e-21 6.11866e-21 8.15822e-21 1.01978e-20 1.22373e-20 1.42769e-20 1.63164e-20 1.8356e-20 
Inv 2 4 0 0 0 8.48987e-16 3.39469e-15 7.63524e-15 1.35687e-14 2.11933e-14 3.05071e-14 4.15082e-14 5.41948e-14 6.8565e-14 8.46169e-14 3.37221e-13 7.55959e-13 1.339e-12 2.08451e-12 2.99072e-12 4.05584e-12 5.27811e-12 6.6558e-12 8.18718e-12 3.15885e-11 6.85971e-11 1.17769e-10 1.77808e-10 2.47548e-10 3.25942e-10 4.12051e-10 5.0503e-10 6.04119e-10 1.81056e-09 3.18478e-09 4.5792e-09 5.94462e-09 7.26557e-09 8.53809e-09 9.7621e-09 1.09388e-08 1.20699e-08 2.12214e-08 2.73744e-08 3.15113e-08 3.42927e-08 3.61628e-08 3.74201e-08 3.82654e-08 3.88338e-08 3.92159e-08 3.99852e-08 3.99997e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 4e-08 
